tree	subject	relation	object	class
 ( ROOT  ( S  ( NP  ( NN lieutenant )   ( NNP commander )   ( NNP Pavlic )  )   ( VP  ( VBD received )   ( NP  ( DT the )   ( NNP purple )   ( NNP heart )  )   ( ADVP  ( RB posthumously )  )  )   ( . . )  )  ) 	 ( NP  ( NN lieutenant )   ( NNP commander )   ( NNP Pavlic )  ) 	 ( VBD received ) 	 ( NP  ( DT the )   ( NNP purple )   ( NNP heart )  ) 	1
 ( ROOT  ( S  ( NP  ( DT A )   ( NN woman )   ( NNP Tina )  )   ( VP  ( VBZ arrives )   ( PP  ( IN at )   ( NP  ( NNP cholera )   ( NN street )  )  )   ( SBAR  ( WHADVP  ( WRB where )  )   ( S  ( NP  ( PRP she )  )   ( VP  ( VP  ( VBZ takes )   ( PRT  ( RP up )  )   ( NP  ( NN residence )  )  )   ( CC and )   ( VP  ( VBZ works )   ( PP  ( IN as )   ( NP  ( DT a )   ( NN prostitute )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT A )   ( NN woman )   ( NNP Tina )  ) 	 ( VBZ arrives ) 	 ( PP  ( IN at )   ( NP  ( NNP cholera )   ( NN street )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP crick )  )   ( VP  ( VBD stressed )   ( NP  ( NP  ( DT the )   ( NN importance )  )   ( PP  ( IN of )   ( S  ( VP  ( VBG finding )   ( NP  ( JJ new )   ( NNS method )  )   ( S  ( VP  ( TO to )   ( VP  ( VB probe )   ( NP  ( JJ human )   ( NN brain )   ( NN function )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP crick )  ) 	 ( VBD stressed ) 	 ( NP  ( DT the )   ( NN importance )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NNP ottoman )   ( NNP central )   ( NNP bank )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT the )   ( JJ first )   ( NN building )  )   ( PP  ( IN at )   ( NP  ( NN right )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NNP ottoman )   ( NNP central )   ( NNP bank )  ) 	 ( VBZ be ) 	 ( NP  ( NP  ( DT the )   ( JJ first )   ( NN building )  )   ( PP  ( IN at )   ( NP  ( NN right )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NNP ottoman )   ( NNP central )   ( NNP bank )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT the )   ( JJ first )   ( NN building )  )   ( PP  ( IN at )   ( NP  ( NN right )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NNP ottoman )   ( NNP central )   ( NNP bank )  ) 	 ( VBZ be ) 	 ( NP  ( DT the )   ( JJ first )   ( NN building )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NNP venice )   ( NNP film )   ( NNP festival )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT the )   ( JJS oldest )   ( NN film )   ( NN festival )  )   ( PP  ( IN in )   ( NP  ( DT the )   ( NN world )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NNP venice )   ( NNP film )   ( NNP festival )  ) 	 ( VBZ be ) 	 ( NP  ( DT the )   ( JJS oldest )   ( NN film )   ( NN festival )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NNP venice )   ( NNP film )   ( NNP festival )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT the )   ( JJS oldest )   ( NN film )   ( NN festival )  )   ( PP  ( IN in )   ( NP  ( DT the )   ( NN world )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NNP venice )   ( NNP film )   ( NNP festival )  ) 	 ( VBZ be ) 	 ( NP  ( NP  ( DT the )   ( JJS oldest )   ( NN film )   ( NN festival )  )   ( PP  ( IN in )   ( NP  ( DT the )   ( NN world )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NP  ( DT The )   ( NN battle )  )   ( PP  ( IN of )   ( NP  ( NNP Weihaiwei )  )  )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT a )   ( CD 23 )   ( NN day )   ( NN siege )  )   ( PP  ( IN with )   ( NP  ( NP  ( DT a )   ( JJ major )   ( NN land )  )   ( CC and )   ( NP  ( JJ naval )   ( NN component )  )  )  )  )   ( PP  ( IN during )   ( NP  ( DT the )   ( NNP first )   ( NNP japanese )   ( NNP war )  )  )  )   ( . . )  )  ) 	 ( NP  ( NP  ( DT The )   ( NN battle )  )   ( PP  ( IN of )   ( NP  ( NNP Weihaiwei )  )  )  ) 	 ( VBD be ) 	 ( NP  ( DT a )   ( CD 23 )   ( NN day )   ( NN siege )  ) 	1
 ( ROOT  ( S  ( NP  ( NP  ( DT The )   ( NN battle )  )   ( PP  ( IN of )   ( NP  ( NNP Weihaiwei )  )  )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT a )   ( CD 23 )   ( NN day )   ( NN siege )  )   ( PP  ( IN with )   ( NP  ( NP  ( DT a )   ( JJ major )   ( NN land )  )   ( CC and )   ( NP  ( JJ naval )   ( NN component )  )  )  )  )   ( PP  ( IN during )   ( NP  ( DT the )   ( NNP first )   ( NNP japanese )   ( NNP war )  )  )  )   ( . . )  )  ) 	 ( NP  ( NP  ( DT The )   ( NN battle )  )   ( PP  ( IN of )   ( NP  ( NNP Weihaiwei )  )  )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( DT a )   ( CD 23 )   ( NN day )   ( NN siege )  )   ( PP  ( IN with )   ( NP  ( NP  ( DT a )   ( JJ major )   ( NN land )  )   ( CC and )   ( NP  ( JJ naval )   ( NN component )  )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NP  ( DT A )   ( NN graduate )  )   ( PP  ( IN of )   ( NP  ( NP  ( DT the )   ( NNP university )  )   ( PP  ( IN of )   ( NP  ( NP  ( NNP arizona )  )   ( CC and )   ( NP  ( PRP she )  )  )  )  )  )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT a )   ( NN lecturer )  )   ( PP  ( IN in )   ( S  ( VP  ( VBG writing )   ( PP  ( IN at )   ( NP  ( NP  ( NNP princeton )   ( NNP university )  )   ( CC and )   ( NP  ( DT an )   ( NN author )  )  )  )   ( PP  ( IN under )   ( NP  ( NP  ( DT the )   ( NN name )  )   ( PP  ( IN of )   ( NP  ( NNP Kathryn )   ( NNP Watterson )   ( NNP Burkhart )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP she )  ) 	 ( VBZ be ) 	 ( NP  ( DT a )   ( NN lecturer )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP president )   ( NNP bush )  )   ( VP  ( VBZ deserves )   ( NP  ( JJ much )   ( NN credit )  )   ( PP  ( IN for )   ( S  ( ADVP  ( RB sharply )  )   ( VP  ( VBG increasing )   ( NP  ( NP  ( NNP United )   ( NNPS state )   ( NN financing )  )   ( PP  ( IN for )   ( NP  ( NNP aids )   ( NN prevention )   ( NNS program )  )  )  )   ( ADVP  ( RB overseas )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP president )   ( NNP bush )  ) 	 ( VBZ deserves ) 	 ( NP  ( JJ much )   ( NN credit )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP It )  )   ( VP  ( VBZ goes )   ( PP  ( IN against )   ( NP  ( DT all )  )  )   ( SBAR  ( IN that )   ( S  ( NP  ( DT this )   ( NN country )  )   ( VP  ( VBZ stands )   ( PP  ( IN for )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP It )  ) 	 ( VBZ goes ) 	 ( PP  ( IN against )   ( NP  ( DT all )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP Simmons )  )   ( VP  ( VBD said )   ( SBAR  ( S  ( NP  ( PRP she )  )   ( VP  ( MD would )   ( RB not )   ( VP  ( VB reveal )   ( NP  ( PRP$ her )   ( NN opinion )  )   ( PP  ( IN on )   ( NP  ( NNS reparation )  )  )   ( ADVP  ( RB so )   ( SBAR  ( IN as )   ( S  ( RB not )   ( VP  ( TO to )   ( VP  ( VB influence )   ( NP  ( DT the )   ( NN committee )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP Simmons )  ) 	 ( VBD said ) 	 ( NP  ( PRP she )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBD said )   ( SBAR  ( S  ( NP  ( NP  ( DT the )   ( JJ public )   ( NN school )  )   ( SBAR  ( WHPP  ( IN from )   ( WHNP  ( WDT which )  )  )   ( S  ( NP  ( PRP he )  )   ( VP  ( VBD transferred )   ( ADVP  ( NP  ( CD 3 )   ( NNS years )  )   ( RB ago )  )  )  )  )  )   ( VP  ( VBD had )   ( NP  ( NP  ( NN metal )   ( NNS detector )  )   ( SBAR  ( WHNP  ( WDT that )  )   ( S  ( ADVP  ( RB still )  )   ( VP  ( VBD failed )   ( S  ( VP  ( TO to )   ( VP  ( VB keep )   ( PRT  ( RP out )  )   ( NP  ( DT the )   ( NN sense )  )  )  )  )   ( SBAR  ( IN that )   ( S  ( NP  ( NN danger )  )   ( VP  ( VBD lurked )   ( ADVP  ( RB nearby )  )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD said ) 	 ( NP  ( DT the )   ( JJ public )   ( NN school )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( VBN announced )   ( NN crowd )  )   ( VP  ( VBD be )   ( NP  ( NP  ( CD 15 )  )   ( , , )   ( NP  ( CD 568 )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( VBN announced )   ( NN crowd )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( CD 15 )  )   ( , , )   ( NP  ( CD 568 )  )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP I )  )   ( VP  ( VBD readied )   ( NP  ( PRP$ my )   ( NN gear )  )   ( PP  ( IN for )   ( NP  ( DT a )   ( ADJP  ( RB truly )   ( JJ local )  )   ( NN fishing )   ( NN trip )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP I )  ) 	 ( VBD readied ) 	 ( NP  ( PRP$ my )   ( NN gear )  ) 	1
 ( ROOT  ( S  ( NP  ( DT That )  )   ( VP  ( VBD pushed )   ( NP  ( DT the )   ( NN unemployment )   ( NN rate )  )   ( PP  ( TO to )   ( NP  ( CD 12.5 )   ( NN percent )  )  )   ( , , )   ( PP  ( IN from )   ( NP  ( NP  ( CD 12.4 )   ( NN percent )  )   ( PP  ( IN in )   ( NP  ( NNP may )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT That )  ) 	 ( VBD pushed ) 	 ( NP  ( DT the )   ( NN unemployment )   ( NN rate )  ) 	1
 ( ROOT  ( S  ( NP  ( JJ Net )   ( NN income )  )   ( VP  ( VBD represented )   ( NP  ( JJ net )   ( NN asset )   ( NN value )  )  )   ( . . )  )  ) 	 ( NP  ( JJ Net )   ( NN income )  ) 	 ( VBD represented ) 	 ( NP  ( JJ net )   ( NN asset )   ( NN value )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP It )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT The )   ( NN wife )  )   ( PP  ( IN of )   ( NP  ( NNP governor )   ( NNP Dufresne )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP It )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( DT The )   ( NN wife )  )   ( PP  ( IN of )   ( NP  ( NNP governor )   ( NNP Dufresne )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP It )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT The )   ( NN wife )  )   ( PP  ( IN of )   ( NP  ( NNP governor )   ( NNP Dufresne )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP It )  ) 	 ( VBD be ) 	 ( NP  ( DT The )   ( NN wife )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NN club )  )   ( VP  ( VBZ be )   ( VP  ( VP  ( VBG tearing )   ( PRT  ( RP up )  )   ( NP  ( DT the )   ( NN turf )   ( NN field )  )  )   ( CC and )   ( VP  ( VBG replacing )   ( NP  ( PRP it )  )   ( PP  ( IN with )   ( NP  ( NN grass )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NN club )  ) 	 ( VBG replacing ) 	 ( NP  ( PRP it )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP Bonilla )  )   ( VP  ( VP  ( VBD gave )   ( NP  ( NN chase )  )  )   ( , , )   ( CC but )   ( VP  ( VBD hesitated )   ( SBAR  ( IN as )   ( S  ( NP  ( PRP he )  )   ( VP  ( VBD reached )   ( NP  ( DT the )   ( NN wall )  )   ( , , )   ( S  ( VP  ( VBG allowing )   ( NP  ( DT the )   ( NN ball )   ( S  ( VP  ( TO to )   ( VP  ( VB drop )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP Bonilla )  ) 	 ( VBD gave ) 	 ( NP  ( NN chase )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP mr. )   ( NNP Lemelson )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT an )   ( JJ independent )   ( NN inventor )  )   ( SBAR  ( WHNP  ( WP who )  )   ( S  ( VP  ( VBD be )   ( VP  ( VBN granted )   ( NP  ( QP  ( RBR more )   ( IN than )   ( CD 500 )  )   ( NNS patent )  )   ( PP  ( IN during )   ( NP  ( PRP$ his )   ( NN lifetime )  )  )  )  )  )  )   ( CC and )   ( SBAR  ( WP$ whose )   ( S  ( NP  ( NN estate )  )   ( VP  ( VBZ continues )   ( S  ( VP  ( TO to )   ( VP  ( VB receive )   ( NP  ( NNS patent )  )   ( PP  ( VBN based )   ( PP  ( IN on )   ( NP  ( NP  ( NNS application )  )   ( SBAR  ( S  ( NP  ( PRP he )  )   ( VP  ( VBD submitted )   ( SBAR  ( IN before )   ( S  ( NP  ( PRP he )  )   ( VP  ( VBD died )   ( ADVP  ( NP  ( CD 5 )   ( NNS years )  )   ( RB ago )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP mr. )   ( NNP Lemelson )  ) 	 ( VBD be ) 	 ( NP  ( DT an )   ( JJ independent )   ( NN inventor )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP mr. )   ( NNP Lemelson )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT an )   ( JJ independent )   ( NN inventor )  )   ( SBAR  ( WHNP  ( WP who )  )   ( S  ( VP  ( VBD be )   ( VP  ( VBN granted )   ( NP  ( QP  ( RBR more )   ( IN than )   ( CD 500 )  )   ( NNS patent )  )   ( PP  ( IN during )   ( NP  ( PRP$ his )   ( NN lifetime )  )  )  )  )  )  )   ( CC and )   ( SBAR  ( WP$ whose )   ( S  ( NP  ( NN estate )  )   ( VP  ( VBZ continues )   ( S  ( VP  ( TO to )   ( VP  ( VB receive )   ( NP  ( NNS patent )  )   ( PP  ( VBN based )   ( PP  ( IN on )   ( NP  ( NP  ( NNS application )  )   ( SBAR  ( S  ( NP  ( PRP he )  )   ( VP  ( VBD submitted )   ( SBAR  ( IN before )   ( S  ( NP  ( PRP he )  )   ( VP  ( VBD died )   ( ADVP  ( NP  ( CD 5 )   ( NNS years )  )   ( RB ago )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP mr. )   ( NNP Lemelson )  ) 	 ( VBD be ) 	 ( NP  ( DT an )   ( JJ independent )   ( NN inventor )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBD be )   ( NP  ( NP  ( NNP john )   ( NNP dickinson )  )   ( , , )   ( RB not )   ( NP  ( NNP Dickenson )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD be ) 	 ( NP  ( NNP john )   ( NNP dickinson )  ) 	1
 ( ROOT  ( S  ( NP  ( NN governor )   ( NNP florio )  )   ( VP  ( VBD proposed )   ( NP  ( NP  ( DT an )   ( NNS ethics )   ( NN package )  )   ( SBAR  ( WHNP  ( WDT that )  )   ( S  ( VP  ( MD would )   ( VP  ( VB give )   ( NP  ( NNP New )   ( NNP jersey )  )   ( NP  ( NP  ( DT some )  )   ( PP  ( IN of )   ( NP  ( NP  ( DT the )   ( NN nation )   ( POS s )  )   ( ADJP  ( RBS most )   ( JJ stringent )  )   ( NNS rule )  )  )  )   ( PP  ( IN for )   ( NP  ( NP  ( NNS lawmaker )  )   ( CC and )   ( NP  ( JJ senior )   ( NN government )   ( NNS appointee )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NN governor )   ( NNP florio )  ) 	 ( VBD proposed ) 	 ( NP  ( DT an )   ( NNS ethics )   ( NN package )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBD graduated )   ( NP  ( NN summa )   ( NN cum )   ( NN laude )  )   ( PP  ( IN from )   ( NP  ( NP  ( DT the )   ( NNP university )  )   ( PP  ( IN of )   ( NP  ( NNP california )   ( , , )   ( NNP Los )   ( NNP Angeles )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD graduated ) 	 ( NP  ( NN summa )   ( NN cum )   ( NN laude )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP She )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT a )   ( VBG continuing )   ( NN source )  )   ( PP  ( IN of )   ( NP  ( NN love )   ( CC and )   ( NN kindness )   ( CC and )   ( NN generosity )  )  )   ( SBAR  ( WHNP  ( WP who )  )   ( S  ( VP  ( VBD notfailed )   ( S  ( VP  ( TO to )   ( VP  ( VB nurture )   ( NP  ( PRP$ her )   ( JJ adoring )   ( NN family )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP She )  ) 	 ( VBD be ) 	 ( NP  ( DT a )   ( VBG continuing )   ( NN source )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP She )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( NP  ( DT a )   ( NN daughter )  )   ( PP  ( IN of )   ( NP  ( NNP mr. )  )  )  )   ( CC and )   ( NP  ( NP  ( NNP mrs. )   ( NNP Francis )   ( NNP t )   ( NNP doyen )  )   ( PP  ( IN of )   ( NP  ( NNP fisher )   ( NNP island )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP She )  ) 	 ( VBZ be ) 	 ( NP  ( NP  ( DT a )   ( NN daughter )  )   ( PP  ( IN of )   ( NP  ( NNP mr. )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP She )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( NP  ( DT a )   ( NN daughter )  )   ( PP  ( IN of )   ( NP  ( NNP mr. )  )  )  )   ( CC and )   ( NP  ( NP  ( NNP mrs. )   ( NNP Francis )   ( NNP t )   ( NNP doyen )  )   ( PP  ( IN of )   ( NP  ( NNP fisher )   ( NNP island )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP She )  ) 	 ( VBZ be ) 	 ( NP  ( DT a )   ( NN daughter )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( NN bride )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( DT the )   ( NN stepdaughter )  )   ( PP  ( IN of )   ( NP  ( NNP Richard )   ( NNP l )   ( NNP harris )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( NN bride )  ) 	 ( VBZ be ) 	 ( NP  ( DT the )   ( NN stepdaughter )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP general )   ( NNP Blevins )  )   ( VP  ( VP  ( VBD agreed )  )   ( CC and )   ( VP  ( VBD said )   ( SBAR  ( S  ( NP  ( PRP he )  )   ( VP  ( MD would )   ( VP  ( VB strike )   ( PP  ( IN with )   ( NP  ( NP  ( DT a )   ( NN tank )   ( NN regiment )  )   ( VP  ( VBN held )   ( PP  ( PP  ( IN in )   ( NP  ( NN reserve )  )  )   ( CONJP  ( RB as )   ( RB well )   ( IN as )  )   ( PP  ( IN with )   ( NP  ( NP  ( NNS helicopter )  )   ( CC and )   ( NP  ( NNP air )   ( NNP force )   ( NN support )  )  )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP general )   ( NNP Blevins )  ) 	 ( VBD said ) 	 ( NP  ( PRP he )  ) 	1
 ( ROOT  ( S  ( NP  ( NP  ( DT The )   ( CD 12 )  )   ( PP  ( TO to )   ( NP  ( JJ 18-month )   ( NN target )   ( NN price )  )  )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( $ $ )   ( CD 70.00 )  )   ( PP  ( IN per )   ( NP  ( NN share )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( CD 12 )  ) 	 ( VBZ be ) 	 ( NP  ( $ $ )   ( CD 70.00 )  ) 	1
 ( ROOT  ( S  ( NP  ( NP  ( DT The )   ( CD 12 )  )   ( PP  ( TO to )   ( NP  ( JJ 18-month )   ( NN target )   ( NN price )  )  )  )   ( VP  ( VBZ be )   ( NP  ( NP  ( $ $ )   ( CD 70.00 )  )   ( PP  ( IN per )   ( NP  ( NN share )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NP  ( DT The )   ( CD 12 )  )   ( PP  ( TO to )   ( NP  ( JJ 18-month )   ( NN target )   ( NN price )  )  )  ) 	 ( VBZ be ) 	 ( NP  ( $ $ )   ( CD 70.00 )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP gallery )   ( NNS hours )  )   ( VP  ( VBP be )   ( NP  ( NP  ( CD 11 )   ( RB a.m. )  )   ( PP  ( TO to )   ( NP  ( CD 6 )   ( NN pm )  )  )  )   ( ADVP  ( RB daily )  )  )   ( . . )  )  ) 	 ( NP  ( NNP gallery )   ( NNS hours )  ) 	 ( VBP be ) 	 ( NP  ( CD 11 )   ( RB a.m. )  ) 	1
 ( ROOT  ( S  ( NP  ( NP  ( DT The )   ( JJ current )   ( NNP el )   ( NNP Nino )  )   ( CC and )   ( NP  ( DT a )   ( ADJP  ( JJ complicated )   ( CC and )   ( RB vaguely )  )  )  )   ( VP  ( VBN understood )   ( NP  ( NP  ( NN series )  )   ( PP  ( IN of )   ( NP  ( NP  ( NNS phenomenon )  )   ( SBAR  ( WHNP  ( WDT that )  )   ( S  ( VP  ( VP  ( VBP affect )   ( NP  ( NN weather )  )   ( PP  ( IN around )   ( NP  ( DT the )   ( NN globe )  )  )  )   ( CC and )   ( VP  ( VBZ be )   ( NP  ( CC either )   ( NP  ( NP  ( DT the )   ( NN weather )   ( NN event )  )   ( PP  ( IN of )   ( NP  ( DT the )   ( NN century )  )  )  )   ( CC or )   ( NP  ( NP  ( DT an )   ( NN event )  )   ( SBAR  ( WP$ whose )   ( S  ( NP  ( NN bluster )  )   ( VP  ( MD ca )   ( RB not )   ( VP  ( VB come )   ( ADVP  ( RB close )   ( PP  ( TO to )   ( S  ( VP  ( VBG living )   ( PRT  ( RP up )  )   ( PP  ( TO to )   ( NP  ( DT the )   ( JJ super-hype )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )  )   ( S  ( VP  ( VBG preceding )   ( NP  ( PRP it )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( JJ current )   ( NNP el )   ( NNP Nino )  ) 	 ( VBZ be ) 	 ( NP  ( NP  ( DT the )   ( NN weather )   ( NN event )  )   ( PP  ( IN of )   ( NP  ( DT the )   ( NN century )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( CD Eight )   ( NN percent )  )   ( VP  ( VBD went )   ( PP  ( TO to )   ( NP  ( NNP europe )  )  )   ( , , )   ( SBAR  ( IN while )   ( S  ( NP  ( CD 1 )   ( NN percent )  )   ( VP  ( VBD went )   ( PP  ( TO to )   ( NP  ( JJ other )   ( NNS region )  )  )   ( PP  ( IN in )   ( NP  ( DT the )   ( NN world )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( CD Eight )   ( NN percent )  ) 	 ( VBD went ) 	 ( PP  ( TO to )   ( NP  ( NNP europe )  )  ) 	1
 ( ROOT  ( S  ( NP  ( CD Eight )   ( NN percent )  )   ( VP  ( VBD went )   ( PP  ( TO to )   ( NP  ( NNP europe )  )  )   ( , , )   ( SBAR  ( IN while )   ( S  ( NP  ( CD 1 )   ( NN percent )  )   ( VP  ( VBD went )   ( PP  ( TO to )   ( NP  ( JJ other )   ( NNS region )  )  )   ( PP  ( IN in )   ( NP  ( DT the )   ( NN world )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( CD Eight )   ( NN percent )  ) 	 ( VBD went ) 	 ( PP  ( TO to )   ( NP  ( NNP europe )  )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP He )  )   ( VP  ( VBD died )   ( ADVP  ( IN en )   ( NN route )  )   ( PP  ( TO to )   ( NP  ( NN hospital )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP He )  ) 	 ( VBD died ) 	 ( PP  ( TO to )   ( NP  ( NN hospital )  )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( JJ benchmark )   ( JJ 30-year )   ( NN bond )  )   ( VP  ( VP  ( VBD rose )   ( NP  ( CD 3/8 )  )  )   ( CC or )   ( VP  ( CC or )   ( NP  ( $ $ )   ( CD 3.75 )  )   ( PP  ( PP  ( IN per )   ( NP  ( NP  ( $ $ )   ( CD 1 )  )   ( CC or )   ( NP  ( CD 000 )   ( NN bond )  )  )  )   ( CC or )   ( PP  ( TO to )   ( NP  ( NP  ( CD 96聽30/32 )  )   ( CC or )   ( S  ( VP  ( VBG pushing )   ( NP  ( PRP$ its )   ( NN yield )  )   ( ADVP  ( RB down )   ( NP  ( NP  ( CD 3 )   ( NN basis )   ( NNS point )  )   ( PP  ( TO to )   ( NP  ( CD 6.61 )   ( NN percent )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( JJ benchmark )   ( JJ 30-year )   ( NN bond )  ) 	 ( VBD rose ) 	 ( NP  ( $ $ )   ( CD 3.75 )  ) 	1
 ( ROOT  ( S  ( NP  ( DT The )   ( JJ benchmark )   ( JJ 30-year )   ( NN bond )  )   ( VP  ( VP  ( VBD rose )   ( NP  ( CD 3/8 )  )  )   ( CC or )   ( VP  ( CC or )   ( NP  ( $ $ )   ( CD 3.75 )  )   ( PP  ( PP  ( IN per )   ( NP  ( NP  ( $ $ )   ( CD 1 )  )   ( CC or )   ( NP  ( CD 000 )   ( NN bond )  )  )  )   ( CC or )   ( PP  ( TO to )   ( NP  ( NP  ( CD 96聽30/32 )  )   ( CC or )   ( S  ( VP  ( VBG pushing )   ( NP  ( PRP$ its )   ( NN yield )  )   ( ADVP  ( RB down )   ( NP  ( NP  ( CD 3 )   ( NN basis )   ( NNS point )  )   ( PP  ( TO to )   ( NP  ( CD 6.61 )   ( NN percent )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( DT The )   ( JJ benchmark )   ( JJ 30-year )   ( NN bond )  ) 	 ( VBD rose ) 	 ( NP  ( CD 3/8 )  ) 	1
